ObjectID,Site Name,EPA ID,Site ID,Region,Address,State,County,City,ZIP,Latitude,Longitude,Site NPL Status,Ready for Anticipated Use Status,Construction Complete,Site Name Alias,Snapshot,Site Background,In Opportunity Zone,Near Railroad,Near Highway,Near Electric Transmission Line,Population Density,Acres,Is the Site in Reuse?,Reuse Plan Name,Reuse Plan URL,Link to Site Snapshot,Most Recent Reuse-Related Document,Link to Document,x,y
237,BURGESS BROTHERS LANDFILL,VTD003965415,0101450,1,RTE 9,VT,BENNINGTON,WOODFORD,05201,42.878061,-73.150139,Currently on the Final NPL,Meets the Measure,Yes,BURGESS BROTHERS LANDFILL,"The Burgess Brothers Landfill Superfund site is in Bennington, Vermont. Burgess Brothers Construction Company ran a sand pit, salvage yard and landfill on-site from the 1940s to the mid-1970s. Two lagoons received liquid wastes and sludge from about 1967","The Burgess Brothers Landfill is located in Bennington, Vermont.
Burgess Brothers Construction Company operated the facility as a sand pit, salvage yard and landfill from the 1940s until the mid-1970s.
Starting in the early 1950s the site was used as a me",No,No,No,Yes - 1 mile,"Rural (less than 2,500 people)",37.67738928,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-vermont#burgess,,,-8143036.2249,5293429.866999999
238,BURLINGTON INDUSTRIES CHERAW,SCN000404896,0404896,4,650 CHESTERFIELD HIGHWAY,SC,CHESTERFIELD,CHERAW,29520,34.698689,-79.912786,Currently on the Final NPL,Does Not Meet the Measure,No,BURLINGTON INDUSTRIES CHERAW FORMER LAGOON,"The Burlington Industries Cheraw Superfund site is in Cheraw, South Carolina. There have been textile manufacturing facilities on-site since the 1960s. Facility operations contaminated groundwater, sediment, soil and surface water. Beginning in 2017, EPA","The Burlington Industries Cheraw site consists of the former Burlington Industries, Inc. Superfund facility property, 3.2 miles of surface water drainage from the facility to the Great Pee Dee River and several adjacent parcels along the surface water pat",Completely Within,Yes - 1 mile,No,Yes - 1/2 mile,"Urban Cluster (2,500-50,000 people)",95.728095911,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-south-carolina#burlington,,,-8895850.6454,4123009.1998
239,BURLINGTON NORTHERN (BRAINERD/BAXTER PLANT),MND000686196,0503688,5,WEST CITY LIMITS,MN,CROW WING,BRAINERD/BAXTER,56401,46.3532,-94.2282,Currently on the Final NPL,Does Not Meet the Measure,Yes,"BURLINGTON NORTHERN, BURLINGTON NORTHERN, BURLINGTON NORTHERN (BRAINERD/BAXTER PLA, BURLINGTON NORTHERN (BRAINERD/BAXTER PLANT), BURLINGTON NORTHERN (BRAINERD/BAXTER), BURLINGTON NORTHERN TIE TREATING, BURLINGTON NORTHERN TIE TREATMENT FACILITY","The 60-acre Burlington Northern (Brainerd/Baxter Plant) Superfund site is in the cities of Baxter and Brainerd, Minnesota. A rail line that runs east to west divides the site. Burlington Northern Santa Fe Railway (BNSF) and previous site users treated ra",The Burlington Northern (Brainerd/Baxter Plant) site is located between the cities of Brainerd and Baxter in Minnesota. A railroad-tie treatment facility operated at the site from about 1907 to 1986. Two shallow unlined ponds received wastewater generated,Partially Within,Yes - 1/2 mile,No,No,"Urban Cluster (2,500-50,000 people)",225.912367,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-minnesota#burlington,,,-10489435.2424,5837131.557400003
240,BURNHAM CANAL - MILLER COMPRESSING COMPANY,WIN000510222,0510222,5,1640 W BRUCE STREET,WI,MILWAUKEE,MILWAUKEE,53204,43.025278,-87.933611,Not on the NPL,Does Not Meet the Measure,No,BURNHAM CANAL - MILLER COMPRESSING CO,,"The Burnham Canal site is located in Milwaukee, Wisconsin. The area consists of Miller Compressing Company's former wire reclamation furnace area and part of the Burnham Canal from its western terminus to the 11th Street Bridge. Site activities led to soi",Completely Within,Yes - 1/2 mile,Yes - 1/2 mile,No,"Urban Area (50,000+ people)",12.440765898,No,,,,,,-9788724.8001,5315820.2080999985
241,BURNT FLY BOG,NJD980504997,0200528,2,TYLERS LANE,NJ,MONMOUTH,MARLBORO TOWNSHIP,07746,40.375,-74.279169,Currently on the Final NPL,Does Not Meet the Measure,Yes,"BURNT FLY BOG, BURNT FLY BOG, BURNT FLY BOG","The 60-acre Burnt Fly Bog Superfund site is in Old Bridge Township and Marlboro Township in New Jersey. During the 1950s and 1960s, oil waste recovery activities and unlined waste oil lagoons contaminated surface water and soil. Contamination moved downs","The Burnt Fly Bog site is located in a semi-rural area, mostly in Marlboro Township in Monmouth County, New Jersey. It also extends into Old Bridge Township in Middlesex County. It covers about 1,700 acres and is located on the edge of the New Jersey Pine",No,No,No,Yes - 1 mile,"Urban Area (50,000+ people)",90.03,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-new-jersey#burnt,,,-8268719.2696,4920586.8369999975
242,BURROWS SANITATION,MID980410617,0502733,5,ME1/4 SEC10 R16W T3S,MI,VAN BUREN,HARTFORD,49057,42.2233,-86.1502,Deleted from the Final NPL,Meets the Measure,Yes,"BURROWS SANITATION, BURROWS SANITATION, BURROWS SANITATION, BURROWS SANITATION SITE",,"The Burrows Sanitation site is located in Hartford, Michigan. Disposal of plating sludges, waste coolants and oils took place at the site from 1970 to 1977. Waste disposal operations contaminated groundwater, surface water, soils, sediments and lagoons. F",No,Yes - 1 mile,No,Yes - 1 mile,"Rural (less than 2,500 people)",23.431276059,No,Situation Assessment,http://semspub.epa.gov/src/document/05/633216,,,,-9590196.3957,5194487.613300003
243,BUSH VALLEY LANDFILL,MDD980504195,0300258,3,BUSH RD POB 246,MD,HARFORD,ABINGDON,21009,39.467219,-76.26195,Currently on the Final NPL,Meets the Measure,Yes,"BUSH VALLEY LANDFILL, BUSH VALLEY LANDFILL, HARRIS LANDFILL","The 16-acre Bush Valley Landfill Superfund site is in Harford County, Maryland. From 1974 to 1983, a municipal solid waste landfill was on site. Landfill operators accepted hazardous waste that contaminated soil and groundwater. EPA added the site to the","The Bush Valley Landfill site is located in Harford County, Maryland, one mile from the town of Abingdon. The site is located on a 29-acre parcel of land, and approximately 16 acres of that parcel consists of the Bush Valley Landfill.
In 1975, the Marylan",No,Yes - 1/2 mile,Yes - 1 mile,Yes - 1 mile,"Urban Area (50,000+ people)",20.70397329,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-maryland#bush,,,-8489441.4409,4788819.377300002
244,BUTLER MINE TUNNEL,PAD980508451,0301208,3,SUSQUEHANNA RIVER,PA,LUZERNE,PITTSTON TOWNSHIP,18640,41.3268,-75.7899,Deleted from the Final NPL,Meets the Measure,Yes,"ALCAN ALUMINUM *, ALUMINUM CO OF AMERICA, BUTLER MINE TUNNEL, BUTLER MINE TUNNEL, BUTLER MINE TUNNEL",,"The Butler Mine Tunnel is located in Luzerne County, Pennsylvania and was constructed in the 1930s to provide mine drainage for an estimated five-square-mile area of underground coal mines. The Butler Mine Tunnel drains into the Susquehanna River. Contami",No,Yes - 1/2 mile,No,Yes - 1 mile,"Urban Area (50,000+ people)",0.2712121518,Yes,,,,,,-8436893.0753,5060664.748199999
245,BUTTERWORTH #2 LANDFILL,MID062222997,0502576,5,1450 BUTTERWORTH ST SW,MI,KENT,GRAND RAPIDS,49504,42.952219,-85.700281,Currently on the Final NPL,Meets the Measure,Yes,"BUTTERWORTH #2 LANDFILL, BUTTERWORTH #2 LDFL SITE, BUTTERWORTH #2 LDFL SITE, BUTTERWORTH #2 LDFL SITE, BUTTERWORTH 2 LANDFILL SITE, GRAND RAPIDS CITY LDFL, GRAND RAPIDS GYPSUM CO (SIA)","The Butterworth %232 Landfill Superfund site is in Grand Rapids, Michigan. It includes 120 acres along the Grand River. From 1950 to 1967, the city of Grand Rapids ran the landfill as an open dump and later as a sanitary landfill. Landfill operations con","The 120-acre Butterworth #2 Landfill site is located in Grand Rapids, Michigan. The City of Grand Rapids owned and operated the landfill as an open dump from 1950 to 1967. The site operated as a sanitary landfill from 1967 to 1973 when the state closed it",No,Yes - 1/2 mile,Yes - 1/2 mile,Yes - 1/2 mile,"Urban Area (50,000+ people)",354.71398117,Yes,Reuse Characterization,http://semspub.epa.gov/src/document/05/633218,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-michigan#butterworth,Butterworth #2 Landfill Return to Use Fact Sheet,https://semspub.epa.gov/src/document/05/633217,-9540111.6418,5304701.917099997
246,BUTZ LANDFILL,PAD981034705,0301833,3,RD #5 TWP RTE 601,PA,MONROE,STROUDSBURG,18360,41.0335,-75.3438,Currently on the Final NPL,Meets the Measure,Yes,"BUTZ LANDFILL, BUTZ LANDFILL, BUTZ LANDFILL, NORTH ROAD *, NORTH ROAD SITE","The 13-acre Butz Landfill Superfund site is in rural Stroudsburg, Pennsylvania. Site owners ran an 8.5-acre municipal landfill on-site from the mid-1960s to 1973. In 1984, the Pennsylvania Department of Environmental Protection (PADEP) investigated the l","The 13-acre Butz Landfill Superfund Site, also known to some as the North Road Site, is located in Jackson Township, Monroe County, Pennsylvania, south of Camelback Mountain along North Road in rural Stroudsburg. The site consists of a former, unpermitted",No,No,No,Yes - 1/2 mile,"Rural (less than 2,500 people)",11.728695058,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-pennsylvania#butz,,,-8387233.4504,5017284.162600003
247,BYPASS 601 GROUND WATER CONTAMINATION,NCD044440303,0402753,4,440 HWY 29 NORTH,NC,CABARRUS,CONCORD,28025,35.4096,-80.6093,Currently on the Final NPL,Meets the Measure,Yes,"BYPASS 601 GROUND WATER CONTAMINATION, BYPASS 601 GROUNDWATER CONTAMINATION, MARTIN'S SCRAP RECYCLING INC","The 13-acre Bypass 601 Ground Water Contamination Superfund site is in Concord, North Carolina. Martin Scrap Recycling (MSR) ran a battery salvage and scrap metal recycling facility at the site from 1966 to 1986. MSR recovered scrap metal, mostly lead, f","The 13-acre Bypass 601 Ground Water Contamination Superfund site is located on the western edge of Concord in south-central North Carolina. U.S. Highway 29/Route 601 borders the site to the west, Irish Buffalo Creek borders the site to the east and an unn",No,Yes - 1/2 mile,No,Yes - 1/2 mile,"Urban Area (50,000+ people)",50.824508998,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-north-carolina#bypass,,,-8973386.2292,4219684.407700002
248,BYRON BARREL & DRUM,NYD980780670,0202257,2,TOWN LINE ROAD,NY,GENESEE,BYRON TOWNSHIP,14422,43.1191,-78.1103,Currently on the Final NPL,Meets the Measure,Yes,"BYRON BARREL & DRUM, BYRON BARREL & DRUM, BYRON BARREL AND DRUM",,"The Byron Barrel & Drum site is located in Genesee County, New York. The site is about 2 acres of an 8-acre property off Transit Road in a rural area. .
The site is bordered by heavily wooded areas and farmland. Surface water drains to Oak Orchard Creek, ",No,No,No,No,"Rural (less than 2,500 people)",,No,,,,,,-8695198.8217,5330117.687100001
249,BYRON SALVAGE YARD,ILD010236230,0500261,5,NW1/4 SEC 13 T24N R10E,IL,OGLE,BYRON,61010,42.081667,-89.295833,Currently on the Final NPL,Meets the Measure,Yes,"BYRON JOHNSON, BYRON SALVAGE YARD, BYRON SALVAGE YARD","The Byron Salvage Yard Superfund site is in rural Ogle County, Illinois. It consists of the 22-acre Byron Salvage Yard Property and the 150-acre Dirk’s Farm Property. From the 1960s to 1972, a junkyard and dump for miscellaneous waste and debris – Byron ","The Byron Salvage Yard site in Ogle County, Illinois includes two areas – the Byron Salvage Yard (BSY) and the Dirk’s Farm Property (DFP). During the 1960s and 1970s, on-site facilities accepted drums of electroplating wastes and other materials (oil slud",No,No,No,Yes - 1/2 mile,"Rural (less than 2,500 people)",315.8209766,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-illinois#byron,,,-9940366.6595,5173220.625600003
250,C & D RECYCLING,PAD021449244,0300881,3,R.D. #1 - SANDY RUN,PA,LUZERNE,FOSTER TOWNSHIP,18224,41.031389,-75.841669,Deleted from the Final NPL,Meets the Measure,Yes,"C & D RECYCLING, C & D RECYCLING, C & D RECYCLING","The 45-acre C & D Recycling Superfund site is in Foster Township, Pennsylvania. From the 1960s to the early 1980s, a metal reclamation plant was on-site. It burned lead and plastic-cased telephone cables to reclaim the copper wire. Sampling found high le","The 45-acre C & D Recycling site is located in Foster Township, Pennsylvania. The site owner operated a metal-reclamation plant on site from the 1960s to the early 1980s. The company incinerated lead and plastic-cased telephone cables, or burned them in p",No,No,No,No,"Rural (less than 2,500 people)",21.200667808,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-pennsylvania#c&d,,,-8442655.974,5016972.637199998
251,C & J DISPOSAL LEASING CO. DUMP,NYD981561954,0202366,2,ROUTE 12B,NY,MADISON,HAMILTON,13346,42.8638,-75.5687,Deleted from the Final NPL,Meets the Measure,Yes,"C & J DISPOSAL LEASING CO DUMP, C & J DISPOSAL LEASING CO. DUMP, C & J DISPOSAL SITE",,"The C&J Disposal site is located in the Town of Eaton, Madison County, New York, near the intersection of Routes 12B and 46.  The site originally included a rectangular disposal trench that measured approximately 140 feet by 40 feet.  The disposal trench ",No,No,No,No,"Rural (less than 2,500 people)",0,No,,,,,,-8412269.2039,5291263.742200002
252,"C & R BATTERY CO., INC.",VAD049957913,0302581,3,1320 BELLWOOD RD,VA,CHESTERFIELD,CHESTERFIELD COUNTY,23237,37.418,-77.415,Deleted from the Final NPL,Meets the Measure,Yes,"C & R BATTERY CO INC, C & R BATTERY CO., INC, C & R BATTERY CO., INC., C & R BATTERY CO., INC.","The 11-acre C & R Battery Co., Inc. Superfund site is in Chesterfield County, Virginia. The C & R Battery Company ran a battery breaker facility on-site from 1973 to 1985. During operations, the company drained battery acid into ponds. In the late 1970s,","The 11-acre C & R Battery Company site is located near the James River in Chesterfield County, Virginia. Between the early 1970s and 1985, C&R Battery Co., Inc. used the site to dismantle batteries from cars, trucks and commercial applications in order to",No,Yes - 1/2 mile,Yes - 1 mile,Yes - 1/2 mile,"Rural (less than 2,500 people)",7.5400179598,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-virginia#c&r,,,-8617798.3798,4497531.860200003
253,CABO ROJO GROUND WATER CONTAMINATION,PRN000206319,0206319,2,CROSS STR. CALLE BARBOSA & CALLE DEDIEGO,PR,CABO ROJO,CABO ROJO,00623,18.090725,-67.148325,Currently on the Final NPL,Does Not Meet the Measure,No,"CABO ROJO GROUND WATER CONTAMINATION, CABO ROJO GROUNDWATER CONTAMINATION, CR, CR, CR, CR","The Cabo Rojo Ground Water Contamination Superfund site is in Cabo Rojo, Puerto Rico. It consists of three source areas with two contaminated groundwater plumes. The source areas are a former dry cleaner, an active print shop and a mostly vacant industri",The Cabo Rojo Ground Water Contamination site (“Cabo Rojo site”) consists of three source areas with two groundwater plumes. Cabo Rojo Professional Dry Cleaners (CRPDC) is located in the northern area of Cabo Rojo and is no longer operating. Located appro,Partially Within,No,No,Yes - 1/2 mile,"Urban Area (50,000+ people)",327.68738764,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-puerto-rico#cabo,,,-7474917.3466,2048170.4833999984
254,CABOT/KOPPERS,FLD980709356,0400903,4,MAIN ST & 23RD AVE,FL,ALACHUA,GAINESVILLE,32601,29.675,-82.323061,Currently on the Final NPL,Does Not Meet the Measure,No,"CABOT CARBON, CABOT/KOPPERS, CABOT/KOPPERS, CABOT/KOPPERS, K-MART SITE","The 140-acre Cabot/Koppers Superfund site is in Gainesville, Florida. The Koppers property includes 90 acres on the western part of the site. The Cabot property covers 50 acres on the eastern part of the site. The Koppers property includes the area where","The 140-acre Cabot/Koppers Superfund site is in Gainesville, Alachua County, Florida. The site is one mile east of U.S Highway 441. It includes two properties: the Koppers area (now owned by Beazer East, Inc.), covering 90-acres on the western side of the",Partially Within,Yes - 1/2 mile,No,Yes - 1 mile,"Urban Area (50,000+ people)",200.43816271,Yes,Reuse Assessment,http://semspub.epa.gov/src/document/04/11121159,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-florida#cabot,CABOT/KOPPERS 2017 Fact Sheet,https://semspub.epa.gov/src/document/11/196995,-9164161.2311,3461842.157700002
255,CAL WEST METALS (USSBA),NMD097960272,0604050,6,I-25 & US60 & 85 W FRONTAGE,NM,SOCORRO,LEMITAR,87823,34.163331,-106.9201,Deleted from the Final NPL,Meets the Measure,Yes,"CAL WEST METALS (SBA), CAL WEST METALS (USSBA), CAL WEST METALS (USSBA)",,"New Mexico Environment Department (NMED) is currently maintaining the cap and monitoring the ground water at the site. The fifth Five-Year Review of the remedy for the site was completed May 7, 2020 and found that the completed remedy at the Cal West Meta",No,No,Yes - 1/2 mile,Yes - 1 mile,"Rural (less than 2,500 people)",13.530914769,Yes,,,,,,-11902291.0876,4050754.530500002
256,"CALDWELL LACE LEATHER CO., INC.",KYD045738291,0401986,4,111 E CALDWELL ST,KY,LOGAN,AUBURN,42206,36.8725,-86.746389,Currently on the Final NPL,Meets the Measure,Yes,"CALDWELL LACE LEATHER CO, CALDWELL LACE LEATHER CO., INC, CALDWELL LACE LEATHER CO., INC.","The Caldwell Lace Leather Company, Inc. (CLL) Superfund site is in Auburn, Kentucky. It includes a 16-acre landfill and 41 acres of pastureland. From 1972 to 1985, CLL ran a leather tannery at the site. Tanning processes generated wastewater sludge conta","The 57-acre Caldwell Lace Leather Company Superfund site is located in Auburn, Kentucky. The site includes the area where Caldwell Lace Leather Company (Caldwell) disposed of wastes from its tannery facility from 1972 to 1985.
The U.S. Environmental Prote",No,Yes - 1/2 mile,No,No,"Rural (less than 2,500 people)",95.839258895,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-kentucky#caldwell,,,-9656563.8516,4421349.800899997
257,CALDWELL TRUCKING CO.,NJD048798953,0200340,2,222 PASSAIC AVENUE,NJ,ESSEX,FAIRFIELD,07004,40.876389,-74.271389,Currently on the Final NPL,Does Not Meet the Measure,No,"CALDWELL TRUCKING CO, CALDWELL TRUCKING CO., CALDWELL TRUCKING CO., CALDWELL TRUCKING CO., FAIRFIELD BORO SITE",,"The Caldwell Trucking Co. site is in Fairfield Township, New Jersey. The site’s properties and groundwater are contaminated by residential, commercial, and industrial septic waste disposal. The soil cleanup is completed; however, long-term groundwater cle",No,Yes - 1 mile,Yes - 1/2 mile,No,"Urban Area (50,000+ people)",282.47,No,,,,,,-8267853.204,4994126.130999997
258,CALIFORNIA GULCH,COD980717938,0801478,8,S OF CY-YAK TUNNEL DOWNSTREAM,CO,LAKE,LEADVILLE,80461,39.231279,-106.295522,Currently on the Final NPL,Does Not Meet the Measure,No,"CALIFORNIA GULCH, MESTAS WELL",,"Overview
The California Gulch site consists of about 18 square miles in Lake County, Colorado. The area includes the city of Leadville, parts of the Leadville Historic Mining District and a section of the Arkansas River from the confluence of California G",Partially Within,Yes - 1/2 mile,No,Yes - 1/2 mile,"Urban Cluster (2,500-50,000 people)",11746.975448,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-colorado#california,CALIFORNIA GULCH 2014 Economic Case Study,http://semspub.epa.gov/src/document/08/100000256,-11832763.3826,4754854.658399999
259,CALLAHAN MINING CORP,MED980524128,0101028,1,HARBORSIDE,ME,HANCOCK,BROOKSVILLE (CAPE ROSIER),04617,44.351639,-68.810139,Currently on the Final NPL,Does Not Meet the Measure,No,"CALLAHAN MINE, CALLAHAN MINING CORP","The over 150-acre Callahan Mine Superfund site is in Brooksville, Maine. Metal mining operations began at the site in 1868 and ended in 1972. In 1975, the Maine Department of Marine Resources studied marine organisms in the adjacent Goose Pond and found ","The Callahan Mining Corp site is located about 1,000 feet east-southeast of Harborside Village in Brooksville, Hancock County, Maine.
Zinc-copper sulfide ore deposits at the Site were discovered in 1880.  The mine operated from the late 1800s until its cl",No,No,No,No,"Rural (less than 2,500 people)",178.16824132,Yes,Reuse Assessment,http://semspub.epa.gov/src/document/01/75001079,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-maine#callahan,,,-7659909.6349,5520021.368500002
260,CALLAWAY & SON DRUM SERVICE,FLD094590916,0400792,4,890 EAST LAKE ALFRED DRIVE,FL,POLK,LAKE ALFRED,33850,28.098056,-81.714722,Deleted from the Final NPL,Meets the Measure,Yes,"CALLAWAY & SON DRUM SERVICE, CALLOWAY & SON DRUM SERVICE, CALLOWAY & SON DRUM SERVICE","The 9.5-acre Callaway & Son Drum Services Superfund site is in Polk County, Florida. From 1977 to 1991, a 55-gallon drum refurbishing and resale facility was active on-site. Drums were cleaned, sandblasted and painted, and a percolation pond received rin","The 9.5-acre Callaway & Son Drum Services (CSDS) Superfund site is located at 890 East Lake Alfred Drive in Lake Alfred, Polk County, Florida. The site is located along U.S. Highway 17-92, about one-mile northeast of Lake Alfred. Areas surrounding the sit",No,Yes - 1/2 mile,No,Yes - 1 mile,"Urban Area (50,000+ people)",8.2472730824,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-florida#callaway,,,-9096441.2434,3261342.042100001
261,CAM-OR INC.,IND005480462,0501297,5,STATE ROAD 2 AND HIGHWAY 421,IN,LA PORTE,WESTVILLE,46391,41.546528,-86.899306,Currently on the Final NPL,Does Not Meet the Measure,No,"CAM OR INC, CAM-OR, CAM-OR, CAM-OR INC, CAM-OR INC., CAM-OR INC., CAM-OR, INC., CAM-OR, INCORPORATED, WESTVILLE OIL CO, WESTVILLE OIL DIV, WESTVILLE OIL MFG",,"The 15-acre Cam-Or Inc. site is located near Westville in LaPorte County, Indiana. The Westville Oil Division of Cam-Or collected, stored and re-refined waste oil on site from 1934 until 1987. The waste oil was re-refined for use in automotive- and indust",No,No,No,Yes - 1/2 mile,"Urban Cluster (2,500-50,000 people)",275.85014179,No,,,,,,-9673586.4942,5093291.729000002
262,CAMILLA WOOD PRESERVING COMPANY,GAD008212409,0401395,4,131 EAST BENNETT STREET,GA,MITCHELL,CAMILLA,31730,31.2225,-84.20333,Currently on the Final NPL,Meets the Measure,Yes,"CAMILLA WOOD PRESERVING COMPANY, CAMILLA WOOD PRESERVING COMPANY, ESCAMBIA TREATING CO INC, ESCAMBIA WOOD - CAMILLA","The 41-acre Camilla Wood Preserving Company Superfund site is in Camilla, Georgia. Wood-treating facilities were on-site from 1947 to 1991. Their operations contaminated soil and groundwater. EPA led investigations and short-term cleanups in cooperation ","The 40-acre Camilla Wood Preserving Superfund site is located in Camilla, Georgia. Louis Wood Preserving Company operated a wood-treating facility at the site from 1947 until 1950. The Escambia Treating Company purchased the facility in 1950 and continued",No,Yes - 1/2 mile,No,Yes - 1 mile,"Urban Cluster (2,500-50,000 people)",39.602616734,Yes,Reuse Framework,http://semspub.epa.gov/src/document/04/11121164,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-georgia#camilla,CAMILLA WOOD PRESERVING COMPANY 2019 Fact Sheet,https://semspub.epa.gov/src/document/HQ/403528,-9373471.8187,3661678.8413999975
263,CAMP LEJEUNE MILITARY RES. (USNAVY),NC6170022580,0403185,4,NC HWY 24 & US HWY 16,NC,ONSLOW,ONSLOW COUNTY,28542,34.717781,-77.342919,Currently on the Final NPL,Does Not Meet the Measure,No,"CAMP LEJEUNE MILITARY RES. (US NAVY), CAMP LEJEUNE MILITARY RES. (USNAVY), CAMP LEJEUNE MILITARY RES. (USNAVY), USMC CAMP LEJEUNE, USMC CAMP LEJEUNE, USMC CAMP LEJEUNE MILITARY RESERVATION, USMC/BASE SAN LDFL ( SITE 5 ), USMC/BLDG PT 37 ( SITE 6 ), USMC/BLDGS TP452 & TP451 (SITE 10), USMC/CAMP GEIGER DUMP (SITE 4), USMC/CHEM LDFL ( SITE 1 ), USMC/FIRE FIGHTING TRAINING PIT (SITE 11, USMC/G4A RANGE (SITE 9), USMC/HADNOT POINT BURN DUMP (SITE 3), USMC/K-326 RANGE (SITE 8), USMC/LOT 140, HADNOT POINT ARE (SITE 7), USMC/STORAGE LOTS 201 & 203 (SITE 12)",,"Marine Corps Base (MCB) Camp Lejeune and Marine Corps Air Station (MCAS) New River, also known as Camp Lejeune or the Base, is a 156,000-acre military installation located in Onslow County, North Carolina, south of the City of Jacksonville.  Camp Lejeune ",No,Yes - 1/2 mile,No,Yes - 1/2 mile,"Urban Area (50,000+ people)",103272.10598,Yes,,,,,,-8609774.3595,4125594.541500002
264,CAMP PENDLETON MARINE CORPS BASE,CA2170023533,0902732,9,CAMP PENDLETON MARINE BASE,CA,SAN DIEGO,CAMP PENDLETON,92055,33.306669,-117.3408,Currently on the Final NPL,Does Not Meet the Measure,No,"CAMP PENDLETON MARINE CORPS BASE, CAMP PENDLETON MARINE CORPS BASE, CAMP PENDLETON PCB SPILL, MARINE CORPS BASE CAMP PENDLETON",,"The Camp Pendleton Marine Corps Base site covers 125,000 acres in San Diego County, California. The base provides housing, training, logistical and administrative support for the Fleet Marine Force units. Past disposal practices have contaminated the grou",No,Yes - 1/2 mile,Yes - 1/2 mile,Yes - 1/2 mile,"Urban Area (50,000+ people)",122131.18721,Yes,,,,,,-13062318.1053,3936080.246699996
265,CANEY RESIDENTIAL YARDS,KSN000703396,0703396,7,Intersection of North Main Street and East 3rd Ave,KS,MONTGOMERY,CANEY,67333,37.013136,-95.934889,Currently on the Final NPL,Does Not Meet the Measure,No,,,"The Caney Residential Yards Superfund site, is in the city of Caney, Montgomery County, Kansas.
The city of Caney, Kansas, was home to two smelters that refined primarily lead and zinc with ore supplied by the nearby Tri-State Mining District (TSMD). The ",Completely Within,Yes - 1/2 mile,No,Yes - 1 mile,"Rural (less than 2,500 people)",669.76026868,Yes,Community Investment Prospectus,https://semspub.epa.gov/src/document/HQ/100003157,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-kansas#caney,,,-10679422.9928,4440937.9344
266,"CANNELTON INDUSTRIES, INC.",MID980678627,0502931,5,ADDRESS UNREPORTED,MI,CHIPPEWA,SAULT STE MARIE,49783,46.488889,-84.393061,Currently on the Final NPL,Meets the Measure,Yes,"ALGOMA TUBE, CANNELTON INDUSTRIES, CANNELTON INDUSTRIES, CANNELTON INDUSTRIES, INC., CANNELTON INDUSTRIES, INC., NORTHWESTERN LEATHER",,"The 70-acre Cannelton Industries, Inc. site is located in Sault Sainte Marie, Michigan. A portion of the site is located within the 100-year floodplain of the St. Mary's River. The Northwestern Leather Company operated a tannery and processed animal hides",Completely Within,Yes - 1/2 mile,Yes - 1 mile,Yes - 1/2 mile,"Rural (less than 2,500 people)",115.182797,No,,,,"Cannelton Industries, Inc. Return to Use Fact Sheet",https://semspub.epa.gov/src.document/05/633220,-9394592.577,5859043.162100002
267,CANNON ENGINEERING CORP. (CEC),MAD079510780,0100585,1,FIRST ST,MA,PLYMOUTH,BRIDGEWATER,02324,41.9727,-71.0256,Deleted from the Final NPL,Meets the Measure,Yes,"CANNON ENGINEERING CORP. (CEC), CANNONS ENGINEERING CO","The 7-acre Cannon Engineering Corp. (CEC) Superfund site is in Bridgewater, Massachusetts. Beginning in the 1970s, CEC transported, stored and burned hazardous wastes at the site. Mishandling of the waste and reporting violations led to the facility clos","The 7-acre Cannon Engineering Bridgewater Site (CEC) is located in Bridgewater, Massachusetts. CEC used the area to transport, store and incinerate hazardous wastes. Facility operations contaminated soil, sediments, buildings, groundwater, and surface wat",No,No,Yes - 1/2 mile,Yes - 1/2 mile,"Rural (less than 2,500 people)",12.31421963,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-massachusetts#cannon,,,-7906533.6253,5156890.9133
